"timestamp","0ANAB7 | Value","0ANAB7 | Quality","0BNAB9 | Value","0BNAB9 | Quality","0BNABC | Value","0BNABC | Quality","0BNLBC | Value","0BNLBC | Quality","0BPVRD | Value","0BPVRD | Quality","0BPVRG | Value","0BPVRG | Quality","0CNABC | Value","0CNABC | Quality","0CNLBC | Value","0CNLBC | Quality","0CPVRD | Value","0CPVRD | Quality","0CPVRG | Value","0CPVRG | Quality","0ENABC | Value","0ENABC | Quality","0ENLBC | Value","0ENLBC | Quality","0EPVRD | Value","0EPVRD | Quality","0EPVRG | Value","0EPVRG | Quality","0EQL10 | Value","0EQL10 | Quality","0FNABC | Value","0FNABC | Quality","0FNLBC | Value","0FNLBC | Quality","0FPVRD | Value","0FPVRD | Quality","0FPVRG | Value","0FPVRG | Quality"
"2020-04-28 15:00:00+03:00","na","na","-.75                            ","524288","1.85896                         ","524288","1.70902                         ","524288","580.007                         ","524288","695.008                         ","524288","2.14384                              ","1","1.67903                              ","1","489.516                              ","1","519.486                              ","1","2.05388                              ","1","1.48411                              ","1","510.006                              ","1","500.006                              ","1","11.4689                              ","1","2.23381                              ","1","1.88894                              ","1","495.006                              ","1","520.006                              ","1"
"2020-04-28 15:05:00+03:00","2.9985                               ","1","-.75                            ","524288","1.85896                         ","524288","1.70902                         ","524288","580.007                         ","524288","695.008                         ","524288","2.14384                              ","1","1.67903                              ","1","489.516                              ","1","519.486                              ","1","2.05388                              ","1","1.48411                              ","1","510.006                              ","1","505.006                              ","1","11.5571                              ","1","2.23381                              ","1","1.88894                              ","1","495.006                              ","1","520.006                              ","1"
"2020-04-28 15:10:00+03:00","2.9985                               ","1","-.75                            ","524288","1.85896                         ","524288","1.70902                         ","524288","580.007                         ","524288","695.008                         ","524288","2.14384                              ","1","1.67903                              ","1","489.516                              ","1","519.486                              ","1","2.05388                              ","1","1.48411                              ","1","510.006                              ","1","500.006                              ","1","11.5571                              ","1","2.23381                              ","1","1.88894                              ","1","495.006                              ","1","520.006                              ","1"
"2020-04-28 15:15:00+03:00","2.9985                               ","1","-.75                            ","524288","1.85896                         ","524288","1.70902                         ","524288","580.007                         ","524288","695.008                         ","524288","2.14384                              ","1","1.67903                              ","1","489.516                              ","1","519.486                              ","1","2.03888                              ","1","1.4991                               ","1","510.006                              ","1","500.006                              ","1","11.5571                              ","1","2.23381                              ","1","1.88894                              ","1","495.006                              ","1","515.006                              ","1"
"2020-04-28 15:19:59+03:00","2.9985                               ","1","-.75                            ","524288","1.85896                         ","524288","1.70902                         ","524288","580.007                         ","524288","695.008                         ","524288","2.14384                              ","1","1.67903                              ","1","489.516                              ","1","519.486                              ","1","2.03888                              ","1","1.48411                              ","1","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
"2020-04-28 15:20:00+03:00","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","510.006                              ","1","500.006                              ","1","11.5571                              ","1","2.23381                              ","1","1.88894                              ","1","495.006                              ","1","515.006                              ","1"
"2020-04-28 15:25:00+03:00","2.9985                               ","1","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na","na"
"2020-04-28 15:25:01+03:00","na","na","-.75                            ","524288","1.85896                         ","524288","1.70902                         ","524288","580.007                         ","524288","695.008                         ","524288","2.14384                              ","1","1.67903                              ","1","489.516                              ","1","519.486                              ","1","2.05388                              ","1","1.48411                              ","1","510.006                              ","1","500.006                              ","1","11.4689                              ","1","2.23381                              ","1","1.87395                              ","1","495.006                              ","1","510.006                              ","1"
"2020-04-28 15:30:00+03:00","2.9985                               ","1","-.75                            ","524288","1.85896                         ","524288","1.70902                         ","524288","580.007                         ","524288","695.008                         ","524288","2.14384                              ","1","1.67903                              ","1","489.516                              ","1","519.486                              ","1","2.05388                              ","1","1.48411                              ","1","510.006                              ","1","505.006                              ","1","11.4689                              ","1","2.23381                         ","524288","1.87395                         ","524288","495.006                         ","524288","510.006                         ","524288"
"2020-04-28 15:35:00+03:00","2.9985                               ","1","-.75                            ","524288","1.85896                         ","524288","1.70902                         ","524288","580.007                         ","524288","695.008                         ","524288","2.14384                              ","1","1.67903                              ","1","489.516                              ","1","519.486                              ","1","2.03888                              ","1","1.48411                              ","1","510.006                              ","1","500.006                              ","1","11.5571                              ","1","2.23381                              ","1","1.88894                              ","1","495.006                              ","1","510.006                              ","1"
